SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
186,532231.67,4418373.13,209,1126.504062,1,0,15.35485935,187.853302,80,15,90,95.98135958,95.8772721,95.8772721,72.875,78.21674613,205,203.5927307,105,53.5023364
187,532192.39,4418402.61,215,1108.058532,1,0,21.70351601,111.425293,95,90,45,46.85047365,46.85047365,97.23475239,72,74.64583043,183.75,191.3888385,88.75,31.99120973
188,532155.03,4418430.85,232,1092.391512,1,0,19.64651108,99.83356476,650,260,60,0,0,105.0920941,86.625,80.14664294,274.375,348.3482229,82.5,34.00367627
189,532115.84,4418460.38,248,1077.846334,1,0,9.113988876,127.8749847,150,38,120,49.08913464,0,132.0382307,184.5,298.4241947,374.375,534.3362559,58.75,30.38811445
190,532078.53,4418488.7,252,1066.048121,1,0,11.40503216,178.6677856,40,35,95,95.94791312,46.85892722,167.3245509,190.75,295.8617709,378.125,532.4057282,57.5,31.52380053
191,532040.12,4418518.06,259,1056.075838,1,0,20.57218933,181.4320984,225,50,25,131.4422701,0,169.578224,63,42.70538608,95.25,65.02259223,55.625,32.05829651
192,532000.69,4418547.29,268,1047.424547,1,0,13.47439384,220.2363586,75,58,30,105.2951676,49.1017855,132.1715208,147.625,231.0892347,206.875,380.6239737,49.375,32.63792847
193,531963.65,4418575.59,272,1041.960502,1,0,20.70989609,225,25,155,50,97.1617647,95.73119044,106.5139295,170.125,223.9818282,202.5,382.6633638,46.25,30.59309563
194,531924.79,4418605.33,254,1038.488149,1,0,24.59161568,225,20,80,25,48.20957693,97.99570128,97.99570128,148.5,102.7411797,123.75,202.1718019,61.875,58.03756865
195,531886.8,4418634.98,262,1037.774914,1,0,17.55897713,168.0238647,15,170,35,0,98.36890731,112.5218318,141.625,87.09755665,51.25,59.04182839,42.5,26.57536453
196,531847.51,4418663.92,278,1037.974289,1,0,14.31450462,143.9726257,20,50,30,48.81674092,97.80166202,142.2192541,226.625,296.7170106,60,58.84301148,47.5,30.82207001
197,531808.28,4418693.99,285,1041.456163,1,0,10.26833248,158.7494965,120,205,55,0,94.7432204,181.477507,272.5,296.8269698,70,66.33249581,49.375,17.39926363
198,531770.16,4418722.68,293,1046.606883,1,0,13.3493681,161.5650482,100,1000,75,0,47.01477525,200.960971,248.125,307.4180531,74.375,62.970107,61.875,21.4967294
199,531732.7,4418751.06,300,1053.918489,1,0,22.1427803,244.0256042,215,425,60,0,0,196.0002545,262.625,300.9522128,75,62.54998002,64.375,28.66154872
200,531693.9,4418780.23,281,1063.426564,1,0,25.58933449,255.8276672,35,85,105,48.56085517,48.56085517,199.0585739,254.875,303.102061,80,71.06335202,62.5,30.92329219
201,531655.59,4418806.92,274,1072.926318,1,0,19.16271019,211.759491,20,93,25,95.25399992,95.25399992,214.2307244,217.375,214.0799719,69.375,73.58827607,56.875,32.20418257
228,532705.95,4418134.89,225,1486.604601,1,0,15.03506947,294.7751465,20,13,50,624.1932403,358.5045637,375.6174196,14.875,3.982383081,31.25,8.926785536,55,13.69306394
229,532669.16,4418163.32,213,1457.302115,1,0,15.74992657,273.8140869,30,15,55,577.682666,320.4064768,336.810613,15.5,3.535533906,30,7.5,60,10.60660172
230,532629.52,4418192.42,205,1426.343623,1,0,17.18097878,292.2855835,40,10,45,528.4946604,283.7101046,297.3917284,15.5,3.872983346,31.875,6.584783596,61.875,12.48436522
231,532592.83,4418220.69,172,1399.010658,1,0,21.79889107,309.2894287,35,15,70,482.1602334,252.2101078,264.0723145,15.625,2.997394702,33.125,3.479852727,65.625,11.57516199
232,532555.46,4418249.42,168,1372.199828,1,0,2.738332272,11.30992889,30,15,70,435.0059547,225.5178197,234.7009075,16.375,5.097487126,34.375,5.829611908,66.875,13.21398407
233,532516.38,4418278.47,175,1345.013519,1,0,14.64844799,170.7066956,30,20,80,386.2945605,206.5576816,210.5142693,18.875,5.03580927,33.75,6.959705454,73.75,12.18349293
234,532477.29,4418308.17,184,1319.301778,1,0,10.88782787,181.3971863,45,28,85,337.1826368,169.2739284,169.2739284,19.5,4.55521679,39.375,12.60890063,83.125,14.56397525
235,532439.84,4418336.76,185,1295.991746,1,0,15.1613512,156.5409851,40,20,75,290.0490339,133.3594347,133.3594347,20.75,3.766629793,51.875,25.36452986,90,18.20027472
236,532399.88,4418366.95,207,1272.436502,1,0,28.98567772,151.6992493,30,25,90,239.9473538,105.1407541,105.1407541,32.25,29.71426425,60.625,35.48216982,98.75,32.76335606
237,532361.42,4418396.89,230,1251.655084,1,0,26.15525055,151.4768829,55,20,100,191.1941388,97.26971007,97.26971007,32.875,29.33188325,71.875,34.90500501,99.375,31.96066919
238,532323.47,4418425.23,241,1232.097448,1,0,21.49159241,192.3807678,70,110,95,143.8120109,110.8346979,97.42207075,36.375,30.14107455,61.25,20.27159343,94.375,21.85713556
239,532285.57,4418453.82,247,1214.249664,1,0,22.72180367,195.592804,95,25,70,96.31945515,96.31945515,49.92950096,66.25,50.3580927,193.75,324.0731978,87.5,30.31088913
240,532245.72,4418483.87,253,1197.223599,1,0,25.02518082,202.442749,60,55,145,46.38998546,46.38998546,0,211.625,288.4566421,468.125,579.7679358,70.625,32.82886497
241,532208.65,4418511.73,257,1183.002874,1,0,21.22322464,217.146698,1050,170,50,0,0,46.38998546,203.5,292.6807134,481.875,570.9418616,79.375,35.83272771
242,532169.4,4418541.52,257,1169.946021,1,0,13.74485111,237.5288086,1700,950,35,0,0,95.6836135,175.125,296.8275752,398.125,588.3023112,75,38.72983346
243,532132.19,4418569.89,257,1159.452671,1,0,12.54226494,124.6951523,120,110,55,46.80959085,46.80959085,142.4928892,175.375,296.6074584,403.75,587.1687896,46.875,24.61421083
244,532094.29,4418598.82,278,1150.648686,1,0,19.48278236,141.4588165,25,28,30,94.50777219,94.50777219,190.1908462,164.875,297.8247964,281.875,539.692838,45.625,26.62676051
245,532054.68,4418628.26,295,1142.934507,1,0,13.19244576,160.1148376,40,35,15,99.40815073,111.2007713,211.7180325,87.375,56.39356679,41.875,34.81536119,38.75,20.11684617
